orderCreatedAt,id,clientOid,symbol,side,type,stopPrice,price,size,dealSize,dealFunds,averagePrice,fee,feeCurrency,remark,tags,orderStatus,
2022-06-12 14:14:29,62a58445b050750001f7c1fc,,ATOM-USDT,buy,market,0,0,0,0.14114326,0.9999999971,7.085,0.0009999999971,USDT,,,done,
2022-06-12 14:09:45,62a58329e49b1200012c7cdc,,VET-USDT,buy,limit,0,0.0262101,39,39,1.0221939,0.0262101,0.0010221939,USDT,,,done,
2022-06-12 14:04:44,62a581fcb226070001138a1d,,THETA-USDT,buy,limit,0,1.1059,0.91,0.91,1.006369,1.1059,0.001006369,USDT,,,done,
2022-06-12 14:04:08,62a581d8e34ff00001cddaba,,GRT-USDT,buy,limit,0,0.11298,9,9,1.01682,0.11298,0.00101682,USDT,,,done,
2022-06-12 13:54:23,62a57f8f52468b0001197f35,,NEAR-USDT,buy,limit,0,3.7724,0.28,0.28,1.056272,3.7724,0.001056272,USDT,,,done,
2022-06-12 13:53:13,62a57f49e49b120001204e44,,MANA-USDT,buy,limit,0,0.7755,1.3,1.3,1.00815,0.7755,0.00100815,USDT,,,done,
2022-06-12 13:52:01,62a57f01e49b1200011f6a2e,,FTT-USDT,buy,limit,0,26.911,0.04,0.04,1.07644,26.911,0.00107644,USDT,,,done,
2022-06-12 13:51:10,62a57eceb22607000108f37b,,DOT-USDT,buy,limit,0,7.6225,0.132,0.132,1.00617,7.6225,0.00100617,USDT,,,done,
2022-05-12 15:51:42,627cbc8e57014a0001703265,,USDC-USDT,buy,limit,0,1.03474,8.7354,8.7354,9.038867796,1.03474,0.009038867796,USDT,,,done,
2022-05-12 00:43:52,627be7c892bb2600018f7b9d,,VIDT-USDT,buy,limit,0,0.1776,11.3,11.3,2.00688,0.1776,0.00200688,USDT,,,done,
2022-05-12 00:43:00,627be7948333ac00016ee822,,AVA-USDT,buy,limit,0,0.6888,2.9,2.9,1.99752,0.6888,0.00199752,USDT,,,done,
2022-05-12 00:40:50,627be7125a093000017841da,,BTC-USDT,buy,limit,0,30719.9,0.00007,0.00007,2.150393,30719.9,0.002150393,USDT,,,done,
2022-05-12 00:37:00,627be62c7052850001a66cb7,,MOVR-USDT,buy,limit,0,23.4962,0.0856,0.0856,2.01127472,23.4962,0.00402254944,USDT,,,done,
2022-05-12 00:14:36,627be0ec6109da000167b5b6,,DOT-USDT,buy,limit,0,9.675,0.5,0.5,4.8375,9.675,0.0048375,USDT,,,done,
2022-04-13 20:05:35,6256bc8fef305f00018e970b,,SOL-USDT,sell,market,0,0,0.065,0.065,6.58151,101.254,0.00658151,USDT,,,done,
2022-04-01 02:47:42,6245f74efce0ff0001e667ba,,XLM-USDT,buy,limit,0,0.233517,40,40,9.34068,0.233517,0.00934068,USDT,,,done,
2022-04-01 02:45:17,6245f6bdea2b3a0001f89242,,XLM-USDT,buy,limit,0,0.233712,10,10,2.33667,0.233667,0.00233667,USDT,,,done,
2022-03-28 04:14:14,6240c5969555e00001ba44ee,,XRP-USDT,buy,limit,0,0.84116,0.7,0.7,0.588812,0.84116,0.000588812,USDT,,,done,
2022-03-28 04:13:46,6240c57a15b417000108f29d,,1INCH-USDT,buy,limit,0,1.717,2,2,3.43,1.715,0.00343,USDT,,,done,
2022-03-28 04:13:37,6240c571a0974800010dba06,,1INCH-USDT,buy,limit,0,1.717,0.35,0.35,0.6006,1.716,0.0006006,USDT,,,done,
2022-03-28 04:11:33,6240c4f558d97b00019ab819,,XVS-USDT,buy,limit,0,10.641,0.141,0.141,1.500381,10.641,0.001500381,USDT,,,done,
2022-03-28 04:10:56,6240c4d0958ade0001bd5ee8,,OCEAN-USDT,buy,limit,0,0.5993,4,4,2.3972,0.5993,0.0023972,USDT,,,done,
2022-03-28 04:08:05,6240c425958ade0001bb55fc,,ETH-USDT,buy,limit,0,3175.89,0.0009,0.0009,2.858301,3175.89,0.002858301,USDT,,,done,
2022-03-28 04:03:09,6240c2fda09748000106460b,,MATIC-USDT,buy,limit,0,1.6539,2.8,2.8,4.63092,1.6539,0.00463092,USDT,,,done,
2022-03-27 11:22:46,623fd886b29df80001e8e2f7,,ZIL-USDT,sell,limit,0,0.0857,38,38,3.2566,0.0857,0.0032566,USDT,,,done,
2022-03-27 02:27:55,623f5b2b87b4cb0001ed96b0,,ZIL-USDT,sell,limit,0,0.0641,72,72,4.6152,0.0641,0.0046152,USDT,,,done,

